====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 162 | Battus madyes                                |    20 | Medium       | -
 163 | Becquartina versicolor                       |     0 | Out of Stock | -
 164 | Belenios calypso                             |   236 | High         | Morphidae
 165 | Belenios theora                              |     0 | Out of Stock | Morphidae
 166 | Belenios theuzi                              |   130 | High         | -
 167 | Belionota metastica                          |     1 | Low          | Buprestidae
 168 | Belostomidae sp                              |     0 | Out of Stock | Belostomidae
 169 | Bothorrhina ruteri                           |     0 | Out of Stock | Cetonidae
 170 | Bunaea aslauga                               |     0 | Out of Stock | -
 171 | C. jordani                                   |     4 | Out of Stock | -
 172 | Caligo eurilochus                            |   120 | High         | -
 173 | Caliris elegans   female                     |    15 | Medium       | -
 174 | Callicore aegina                             |    15 | Out of Stock | Morphidae
 175 | Callicore cajetani                           |     0 | Out of Stock | Nemeobiidae
 176 | Callicore clymena                            |     0 | Out of Stock | -
 177 | Callicore cyllene                            |     0 | Out of Stock | -
 178 | Callicore cynosura                           |   120 | High         | Nymphalidae
 179 | Callicore eucale                             |     0 | Out of Stock | Nymphalidae
 180 | Callicore eunomia                            |    55 | High         | Nymphalidae
 181 | Callicore hesperis                           |     0 | Out of Stock | -
 182 | Callicore hesperus                           |    58 | High         | -
 183 | Callicore hystaspes                          |     0 | Out of Stock | -
 184 | Callicore maimuna                            |     0 | Out of Stock | -
 185 | Callicore maximillia                         |     0 | Out of Stock | -
 186 | Callicore mengeli                            |     0 | Out of Stock | -
 187 | Callicore peristera                          |     0 | Out of Stock | Nymphalidae
 188 | Callicore pseudoastarte                      |     0 | Out of Stock | Nymphalidae
 189 | Callicore sp.                                |   160 | High         | -
 190 | Callinara pereute                            |   350 | High         | -
 191 | Callipara caesar                             |    45 | Medium       | -
 192 | Calliphara caesar                            |    48 | Medium       | -
 193 | Callipogon armillatus                        |    11 | Medium       | Cerambycidae
 194 | Callipogon cinnamoneus                       |     0 | Out of Stock | Cerambycidae
 195 | Callithea cynosura                           |     0 | Out of Stock | -
 196 | Callithea davisi                             |    30 | Medium       | -
 197 | Callithea leprieuri                          |    25 | Medium       | Nymphalidae
 198 | Callithea markii                             |     0 | Out of Stock | -
 199 | Callithea optima                             |    10 | Medium       | -
 200 | Callithea philotima                          |     0 | Out of Stock | Nymphalidae
 201 | Callodes rayneri                             |     4 | Low          | Cetonidae
 202 | Callopistus castelnaudi                      |     0 | Out of Stock | Buprestidae
 203 | Callopistus castelnaudii                     |     0 | Out of Stock | Cetonidae
 204 | Calloplophora spllii                         |     0 | Out of Stock | Cerambycidae
 205 | Calodema plebeuim                            |     2 | Low          | Buprestidae
 206 | Calopterygidae                               |     0 | Out of Stock | -
 207 | Calopteryx sp.                               |   182 | High         | -
 208 | Calopteryx virgo                             |    32 | Medium       | -
 209 | Calopteryx virgo blue color                  |     0 | Out of Stock | -
 210 | Camacina gigantea                            |     0 | Out of Stock | -
 211 | Campsosternus sp.                            |     0 | Out of Stock | Elateridae
 212 | Castiarina erabescent                        |     5 | Out of Stock | Buprestidae
 213 | Castiarina ronei                             |     5 | Out of Stock | Buprestidae
 214 | Catacanthus incarnathus                      |    30 | Medium       | -
 215 | catacanthus incarnatus                       |     0 | Out of Stock | -
 216 | catacanthus nigrepis                         |    28 | Medium       | Pentatomidae
 217 | Catacanthus nigripes                         |    28 | Out of Stock | -
 218 | Catacore kolyma                              |    25 | Medium       | -
 219 | Cathedra serrata                             |   130 | Out of Stock | -
 220 | Catocala fraxini                             |     5 | Out of Stock | -
 221 | Catonephele acontius                         |     0 | Out of Stock | -
 222 | Catonephele chromius                         |    12 | Medium       | -
 223 | Catonephele numilia                          |    30 | Medium       | -
 224 | Catonephele nyctimus                         |     4 | Out of Stock | -
 225 | Catonephele sp.                              |    59 | Out of Stock | -
 226 | Catopsilia argante                           |     0 | Out of Stock | -
 227 | Catopsilia ascia                             |     0 | Out of Stock | Nymphalidae
 228 | Catopsilia crocale                           |     0 | Out of Stock | Nymphalidae
 229 | Catopsilia dark                              |     4 | Low          | -
 230 | Catopsilia florella                          |    12 | Medium       | -
 231 | Catopsilia luditta                           |     0 | Out of Stock | -
