====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
 886 | Morpho marcus                                |     0 | Out of Stock | -
 887 | Morpho menalaus                              |     0 | Out of Stock | -
 888 | Morpho patroclus                             |     0 | Out of Stock | Papilionidae
 889 | Morpho peleides                              |     0 | Out of Stock | -
 890 | Morpho phanademus                            |    10 | Out of Stock | -
 891 | Morpho polyphemus                            |     0 | Out of Stock | -
 892 | Morpho portis                                |    20 | Medium       | -
 893 | Morpho sp                                    |    10 | Medium       | -
 894 | Morpho sulkowssky                            |    92 | High         | -
 895 | Morpho sulkowssky  selemaRIS                 |     0 | Out of Stock | -
 896 | Morpho telemachus                            |    40 | Medium       | -
 897 | Morpho zephyritis                            |    11 | Out of Stock | -
 898 | Moth (atlas local)                           |    10 | Medium       | -
 899 | Moth sp                                      |    36 | Out of Stock | -
 900 | Mycteristes squamosus                        |     0 | Out of Stock | Cetonidae
 901 | Mylothris chloris                            |   145 | High         | Papilionidae
 902 | Mylothris rhodope                            |     0 | Out of Stock | -
 903 | Napeocles jucunda                            |    75 | High         | -
 904 | Necroscia annulipes                          |    20 | Medium       | -
 905 | Necroscia marginata                          |    55 | Out of Stock | -
 906 | Necroscia sp.                                |     0 | Out of Stock | -
 907 | Necroscia sp.    FEMALE                      |     0 | Out of Stock | -
 908 | Necroscia sp.    MALE                        |    29 | Medium       | -
 909 | Necyria duellona                             |    10 | Medium       | -
 910 | Necyria sp.                                  |    90 | High         | -
 911 | Neducanus maximus                            |     0 | Out of Stock | Lucanidae
 912 | Nemophas tricolor                            |     5 | Medium       | Cerambycidae
 913 | Nemoptera sinuata                            |    35 | Medium       | -
 914 | Neocelis dohrni                              |     1 | Out of Stock | -
 915 | Neocerambyx gigas                            |     0 | Out of Stock | Cerambycidae
 916 | Neolamprima adophinae                        |   400 | High         | Lucanidae
 917 | Neolamprima adophinae FEM                    |     0 | Out of Stock | Lucanidae
 918 | Neolamprima adophinae MALE                   |     0 | Out of Stock | Lucanidae
 919 | Neolucanus palmatus                          |     0 | Out of Stock | Lucanidae
 920 | Neolucanus swinhoi                           |     0 | Out of Stock | Lucanidae
 921 | Neomyrina nivea                              |     0 | Out of Stock | -
 922 | Neorina lowii                                |     0 | Out of Stock | -
 923 | Neoscelis dohrni                             |     0 | Out of Stock | Cetonidae
 924 | Nepheronia argia                             |   160 | High         | Papilionidae
 925 | Nepheronia pharis                            |     0 | Out of Stock | Papilionidae
 926 | Nepheronia thalassina                        |   535 | High         | Papilionidae
 927 | Nephila                                      |    10 | Medium       | Theraphosidae
 928 | Nephila maculata                             |     0 | Out of Stock | Theraphosidae
 929 | Nephila sp.                                  |     0 | Out of Stock | Theraphosidae
 930 | Nephila tongmianesis                         |     0 | Out of Stock | Theraphosidae
 931 | Neptis dejeani                               |     0 | Out of Stock | -
 932 | Neptis miah                                  |     0 | Out of Stock | -
 933 | Neptis nandina                               |     0 | Out of Stock | -
 934 | Nessaea hewitsoni                            |    50 | Medium       | -
 935 | Nessaea sp.                                  |    94 | High         | -
 936 | Neurobasis chinensis                         |    60 | High         | -
 937 | Neurobasis kaupi                             |   305 | High         | -
 938 | O. frischesieni                              |     0 | Out of Stock | Cerambycidae
 939 | Odius histeria                               |    45 | Medium       | -
 940 | Odonates                                     |     0 | Out of Stock | -
 941 | Odonates sp.                                 |    50 | Medium       | -
 942 | Odontolabis alces                            |     0 | Out of Stock | Lucanidae
 943 | Odontolabis belicosus                        |     0 | Out of Stock | Lucanidae
 944 | Odontolabis busmeister                       |     0 | Out of Stock | Lucanidae
 945 | Odontolabis curvera sinensis                 |     0 | Out of Stock | Lucanidae
 946 | Odontolabis cuvera                           |     0 | Out of Stock | Lucanidae
 947 | Odontolabis dalmani                          |    22 | Medium       | Lucanidae
 948 | Odontolabis elegans                          |     0 | Out of Stock | Lucanidae
 949 | Odontolabis elegans mouhoti                  |     0 | Out of Stock | Lucanidae
 950 | Odontolabis femoralis                        |     0 | Out of Stock | Lucanidae
 951 | Odontolabis gazella                          |     0 | Out of Stock | Lucanidae
 952 | Odontolabis intermedeus                      |     0 | Out of Stock | Lucanidae
 953 | Odontolabis lacordairei                      |    10 | Medium       | Lucanidae
 954 | Odontolabis ludekingi                        |     0 | Out of Stock | Lucanidae
 955 | Odontolabis mouhoti                          |     0 | Out of Stock | Lucanidae
 956 | Odontolabis parryi                           |     0 | Out of Stock | Lucanidae
 957 | Odontolabis sinensis                         |     0 | Out of Stock | Lucanidae
 958 | Odontolabis siva                             |    45 | Medium       | Lucanidae
 959 | Odontolabis siwa                             |     0 | Out of Stock | Lucanidae
 960 | Odontolabis sommeri                          |     0 | Out of Stock | Lucanidae
 961 | Odontolabis wollastoni                       |     0 | Out of Stock | Lucanidae
 962 | Orientopsaltria fangrayae                    |     0 | Out of Stock | -
 963 | Ornithoctoctorina sp.                        |    10 | Out of Stock | Theraphosidae
 964 | Ornithoptera priamus (Is this what you sent? |     0 | Out of Stock | -
 965 | Orthoptera                                   |     0 | Out of Stock | -
 966 | Orthoptera romaleidae                        |    80 | Out of Stock | -
 967 | Orthoptera sp.                               |     0 | Out of Stock | -
 968 | Orthoptera sp. 12                            |     0 | Out of Stock | -
 969 | Orthoptera sp12                              |    10 | Medium       | -
 970 | Oryctes nasiconis                            |     0 | Out of Stock | Scarabeidae
 971 | Oxyropterus audoniwi                         |     0 | Out of Stock | Elateridae
 972 | Pachliopta aristolochiae                     |     0 | Out of Stock | Papilionidae
 973 | Pachliopta kotzebuea                         |    20 | Medium       | -
 974 | Pachliopta polydorus                         |    14 | Medium       | -
 975 | Pachliopta polyphontes                       |    15 | Medium       | -
 976 | Pachyperia spinicolis                        |     0 | Out of Stock | Curculionidae
 977 | Pachyrynchus spp                             |    17 | Medium       | Chrysomelidae
 978 | Pachyteria dimidiata                         |    10 | Medium       | Cerambycidae
 979 | Palimna annulata                             |     3 | Out of Stock | Cerambycidae
 980 | Palla publius                                |     0 | Out of Stock | -
 981 | Palla ussheri                                |   125 | High         | Papilionidae
 982 | Palla violinitens                            |     0 | Out of Stock | Papilionidae
 983 | Pamphobetus antinous                         |    30 | Low          | Theraphosidae
 984 | Pamphobetus javaensis                        |     0 | Out of Stock | Theraphosidae
 985 | Pamphobetus minax    med                     |     0 | Out of Stock | Theraphosidae
 986 | Panacanthus cuspidatus                       |     0 | Out of Stock | -
 987 | Panacea procilla                             |     0 | Out of Stock | -
 988 | Panacea prola                                |   282 | High         | Papilionidae
 989 | Panacea sp.                                  |   100 | High         | -
 990 | Panaploscelis specularis                     |     0 | Out of Stock | -
 991 | Pandimus                                     |    10 | Medium       | Theraphosidae
 992 | Pandimus canvimanus                          |     0 | Out of Stock | Theraphosidae
 993 | Pandimus minax   large                       |     0 | Out of Stock | Theraphosidae
 994 | Pandimus sp                                  |     0 | Out of Stock | Theraphosidae
 995 | Pantoporia eulimeneo                         |     0 | Out of Stock | Papilionidae
 996 | Pantoporia larymna                           |     0 | Out of Stock | -
 997 | Papilio aegeus female                        |     5 | Medium       | -
 998 | Papilio aegeus male                          |     2 | Out of Stock | -
 999 | Papilio agetes                               |     0 | Out of Stock | Papilionidae
1000 | Papilio ambrax                               |     0 | Out of Stock | -
1001 | Papilio anchisiades                          |     0 | Out of Stock | -
1002 | Papilio androcles                            |     0 | Out of Stock | -
1003 | Papilio androgeos                            |     0 | Out of Stock | Papilionidae
1004 | Papilio antenor                              |     0 | Out of Stock | -
1005 | Papilio antimachus                           |     0 | Out of Stock | -
1006 | Papilio arcturus                             |     0 | Out of Stock | -
1007 | Papilio aristeus                             |     0 | Out of Stock | Papilionidae
1008 | Papilio ascalaphus                           |   180 | High         | -
1009 | Papilio ascalaphus Fem                       |     4 | Out of Stock | -
1010 | Papilio autolycus                            |     0 | Out of Stock | -
1011 | Papilio battus maydes                        |    20 | Medium       | -
1012 | Papilio bianor                               |     0 | Out of Stock | -
1013 | Papilio bianor   spring                      |    55 | High         | -
1014 | Papilio bianor  summer                       |   125 | High         | -
1015 | Papilio blumei                               |    95 | High         | -
1016 | Papilio bromius                              |     0 | Out of Stock | Papilionidae
1017 | Papilio columbus                             |     0 | Out of Stock | Papilionidae
1018 | Papilio dardanus                             |    46 | Medium       | -
1019 | Papilio deiphobus                            |    30 | Medium       | Papilionidae
1020 | Papilio demodocus                            |     2 | Low          | Papilionidae
1021 | Papilio demoleus                             |    16 | Out of Stock | Papilionidae
1022 | Papilio demolion                             |     0 | Out of Stock | -
1023 | Papilio epiphorbas                           |     0 | Out of Stock | Papilionidae
1024 | Papilio euchenor                             |     9 | Medium       | Papilionidae
1025 | Papilio eurytides                            |     0 | Out of Stock | -
1026 | Papilio fuscus                               |   204 | High         | Papilionidae
1027 | Papilio gallienus                            |     3 | Low          | -
1028 | Papilio gambrisius                           |    30 | Medium       | -
1029 | Papilio garleppi                             |     9 | Medium       | -
1030 | Papilio gigon  ♀                             |     4 | Low          | Papilionidae
1031 | Papilio gigon  ♂                             |    15 | Out of Stock | -
1032 | Papilio helenus                              |     0 | Out of Stock | -
1033 | Papilio hesperus                             |     6 | Medium       | -
1034 | Papilio isidorus                             |     0 | Out of Stock | Papilionidae
1035 | Papilio karna                                |   125 | High         | -
1036 | Papilio laglaizei                            |     0 | Out of Stock | Papilionidae
1037 | Papilio leucaspis                            |     0 | Out of Stock | -
1038 | Papilio lormieri                             |   101 | High         | Papilionidae
1039 | Papilio lorquinianus                         |   235 | High         | -
1040 | Papilio lowi                                 |     0 | Out of Stock | -
1041 | Papilio lowi female                          |    15 | Medium       | -
1042 | Papilio lowi Male                            |    50 | Medium       | Papilionidae
1043 | Papilio lycrophon                            |    60 | High         | -
1044 | Papilio maackii  Summer                      |    60 | High         | -
1045 | Papilio maackii (spring)                     |     1 | Low          | -
1046 | Papilio maackii (summer)                     |    60 | High         | -
1047 | Papilio maackii Spring                       |     1 | Low          | -
1048 | Papilio mangoura                             |     2 | Low          | -
1049 | Papilio mechowi                              |    18 | Medium       | -
1050 | Papilio mechowianus                          |     9 | Medium       | -
1051 | Papilio memnon                               |   138 | High         | -
1052 | Papilio memnon agenor                        |     0 | Out of Stock | Papilionidae
1053 | Papilio nephelus                             |     0 | Out of Stock | Papilionidae
1054 | Papilio nireus                               |    40 | Medium       | -
1055 | Papilio oenomaus                             |     0 | Out of Stock | -
1056 | Papilio orizabus                             |     0 | Out of Stock | -
1057 | Papilio ornythion                            |     0 | Out of Stock | Papilionidae
1058 | Papilio p. paris                             |     0 | Out of Stock | -
1059 | Papilio p. stockleyi                         |     9 | Out of Stock | -
1060 | Papilio paeon                                |     0 | Out of Stock | -
1061 | Papilio palinurus                            |   120 | Out of Stock | Papilionidae
1062 | Papilio parides                              |     0 | Out of Stock | -
1063 | Papilio paris                                |   120 | High         | Papilionidae
1064 | Papilio pausanias                            |     0 | Out of Stock | -
1065 | Papilio peranthus                            |    70 | High         | -
1066 | Papilio peranthus (Trans)                    |   130 | High         | -
1067 | Papilio pericles                             |     0 | Out of Stock | Papilionidae
1068 | Papilio phorcas                              |     0 | Out of Stock | -
1069 | Papilio polydorus                            |     0 | Out of Stock | -
1070 | Papilio polyeuctes                           |     0 | Out of Stock | -
1071 | Papilio polytes                              |     0 | Out of Stock | -
1072 | Papilio protener                             |     0 | Out of Stock | -
1073 | Papilio protesilaus                          |     0 | Out of Stock | Papilionidae
1074 | Papilio ropina                               |    10 | Medium       | -
1075 | Papilio rumanzovia                           |    60 | Out of Stock | -
1076 | Papilio sataspes                             |     0 | Out of Stock | -
1077 | Papilio thoas                                |   320 | High         | Papilionidae
1078 | Papilio torquatus                            |    55 | High         | Papilionidae
1079 | Papilio u. autolycus                         |     0 | Out of Stock | -
1080 | Papilio u. ulysses                           |   300 | High         | Pieridae
1081 | Papilio u. ulysses     sp                    |    14 | Medium       | -
1082 | Papilio u. ulysses   female                  |     0 | Out of Stock | -
1083 | Papilio ulysses                              |     0 | Out of Stock | -
1084 | Papilio ulysses joesa                        |     0 | Out of Stock | -
1085 | Papilio xinias                               |     0 | Out of Stock | Pieridae
1086 | Papilio xuthus                               |    65 | High         | -
1087 | Papilio zagreus                              |    35 | Medium       | -
1088 | Papilio zalmoxis                             |     0 | Out of Stock | -
1089 | Papilio zenobia                              |     0 | Out of Stock | Pieridae
1090 | Paracyphocrania major                        |     0 | Out of Stock | -
1091 | Paradasis viridiaenea                        |     0 | Out of Stock | Buprestidae
1092 | Parantica vitrina                            |    85 | High         | -
1093 | Pareronia tritaea                            |   175 | High         | Pieridae
1094 | Parides anchisiades                          |    12 | Medium       | -
1095 | Parides bolivar                              |    15 | Medium       | -
1096 | Parides erlaces                              |     0 | Out of Stock | -
1097 | Parides nox                                  |     0 | Out of Stock | -
1098 | Parides photinus                             |     0 | Out of Stock | -
1099 | Parides sesostris                            |    90 | High         | -
1100 | Parides sp.                                  |     4 | Out of Stock | -
1101 | Parides vertumnus                            |     0 | Out of Stock | Pieridae
1102 | Parnasius thtshukovi                         |    54 | High         | -
1103 | Parthenos sylvia                             |    30 | Medium       | -
1104 | Passalidae sp.                               |   300 | Out of Stock | Passalidae
1105 | Pathysa agetes                               |     0 | Out of Stock | -
1106 | Pathysa antiphates                           |     0 | Out of Stock | -
1107 | Pavieia superba                              |     0 | Out of Stock | Cerambycidae
1108 | Pazala eurala                                |     0 | Out of Stock | -
1109 | Pazala eurota                                |     0 | Out of Stock | -
1110 | Penthicodes caja                             |     0 | Out of Stock | -
1111 | Penticodes atomaria                          |     0 | Out of Stock | -
1112 | Penticodes falinosa                          |     0 | Out of Stock | -
1113 | Penticodes farinosa                          |     0 | Out of Stock | -
1114 | Penticodes farinosa aeruginea                |     0 | Out of Stock | -
1115 | Penticodes variegata                         |     0 | Out of Stock | -
1116 | Pepona demophon                              |     0 | Out of Stock | -
1117 | Pepona dexamenus                             |     0 | Out of Stock | -
1118 | Pepsis heros                                 |    40 | Medium       | -
1119 | Pepsis sp                                    |    26 | Medium       | -
1120 | Pereute callinira                            |   350 | High         | Pieridae
1121 | Pereute leucorosime                          |     0 | Out of Stock | -
1122 | Pereute telthusa                             |     0 | Out of Stock | -
1123 | Pericophinae sp                              |   272 | High         | -
1124 | Perisama bomplandii                          |     8 | Out of Stock | -
1125 | Perisama dorbignyi                           |    85 | Out of Stock | -
1126 | Perisama dorbigyi                            |    80 | High         | -
1127 | Perisama euriclea                            |     0 | Out of Stock | -
1128 | Perisama humboldtii                          |   190 | High         | -
1129 | Perisama lebasi hilara                       |    23 | Medium       | -
1130 | Perisama lebasii                             |     0 | Out of Stock | -
1131 | Perisama oppeli                              |    24 | Medium       | -
1132 | Perisama sp                                  |    10 | Medium       | -
1133 | Perisama tristrigosa                         |    83 | High         | -
1134 | Perisama vaninka                             |    12 | Medium       | -
1135 | Perrhybris lorena                            |    19 | Medium       | -
1136 | Perrhybris mandela                           |     0 | Out of Stock | -
1137 | Perrhybris pamela                            |    30 | Medium       | -
1138 | Phaedimus zebuanas                           |     7 | Medium       | Cetonidae
1139 | Phaedyma shepardi                            |     0 | Out of Stock | -
1140 | Phaenopharos struthioneus                    |     0 | Out of Stock | -
1141 | Phalaennopsis intermedia                     |     0 | Out of Stock | -
1142 | Phaneus arnaudi                              |     4 | Out of Stock | Scarabeidae
1143 | Phaneus sp                                   |     0 | Out of Stock | Scarabeidae
1144 | Pharmacophagus antenor                       |     0 | Out of Stock | -
1145 | Pharnacia serratipes                         |    10 | Out of Stock | -
1146 | Pharnacia sp.                                |     0 | Out of Stock | -
1147 | Phasma bambu                                 |     0 | Out of Stock | -
1148 | Phasma chrysoptera                           |     0 | Out of Stock | -
1149 | Phasma gigas                                 |     0 | Out of Stock | -
1150 | Phasmatodea sp.                              |     4 | Low          | -
1151 | Phasmidae sp.                                |     0 | Out of Stock | -
1152 | Philaethria dido                             |    85 | High         | Pieridae
1153 | Phlogiellus                                  |     0 | Out of Stock | Theraphosidae
1154 | Phlogiellus crassipe                         |     0 | Out of Stock | Theraphosidae
1155 | Phobaeticus serratipes                       |    24 | Medium       | -
1156 | Phoebis argante                              |   100 | High         | Pieridae
1157 | Phoebis avellaneda                           |     0 | Out of Stock | Pieridae
1158 | Phoebis cipris                               |     0 | Out of Stock | Pieridae
1159 | Phoebis philea                               |   100 | High         | Pieridae
1160 | Phoebis rurina                               |    27 | Medium       | Pieridae
1161 | Phoebis sennae                               |     0 | Out of Stock | Pieridae
1162 | Phoebis statira                              |   250 | High         | -
1163 | Phoebis trite                                |   100 | High         | -
1164 | Phryna grossetaitai                          |     0 | Out of Stock | Phrynidae
1165 | Phyllium bioculatum                          |    10 | Medium       | -
1166 | Phyllium celebicum                           |     0 | Out of Stock | -
1167 | Phyllium giganteum                           |    33 | Medium       | -
1168 | Phyllium giganteum (green)                   |    98 | High         | -
1169 | Phyllium giganteum (orange)                  |    22 | Out of Stock | -
1170 | Phyllium giganteum (yellow)                  |    13 | Out of Stock | -
1171 | Phyllium mamasaanse                          |    10 | Medium       | -
1172 | Phyllium mamasaanse   MALE                   |     0 | Out of Stock | -
1173 | Phyllium pulchrifolium                       |     0 | Out of Stock | -
1174 | Phyllium pulchrifolium   Green               |    65 | High         | -
1175 | Phyllium pulchrifolium   Yellow              |    25 | Medium       | -
1176 | Phyllium pulchrifolium  Orange               |    12 | Medium       | -
1177 | Phyllium pulchrifolium MALE                  |     0 | Out of Stock | -
1178 | Phyllium siccifolium                         |     4 | Low          | -
1179 | Phyllium siccifolium (yellow)                |     2 | Out of Stock | -
1180 | Phyllium tobeloense                          |    10 | Medium       | -
1181 | Phyllium tobeloense   MALE                   |     0 | Out of Stock | -
1182 | Phymateus aegrotus                           |     0 | Out of Stock | -
1183 | Phymateus saxosus                            |    15 | Out of Stock | -
1184 | Phyxotricus                                  |     0 | Out of Stock | Theraphosidae
1185 | Pieribalia lorena lorena                     |     0 | Out of Stock | -
1186 | Pieribalia mandela apicalis                  |     0 | Out of Stock | -
1187 | Pieris rhoclope                              |     0 | Out of Stock | -
1188 | Platycrana viridana                          |     0 | Out of Stock | -
1189 | Platypleura mira                             |     0 | Out of Stock | -
1190 | Platypleura mokensis                         |     0 | Out of Stock | -
1191 | Plusiotis chrysargirea                       |     5 | Medium       | Cetonidae
1192 | Polybothris expansicollis                    |     0 | Out of Stock | Buprestidae
1193 | Polybothris navicularis                      |     0 | Out of Stock | Buprestidae
1194 | Polybothris s. gema                          |     0 | Out of Stock | Buprestidae
1195 | Polybothris s. superba                       |     0 | Out of Stock | Buprestidae
1196 | Polyctor stochleyi                           |     8 | Medium       | -
1197 | Polydictya uniformis                         |     0 | Out of Stock | -
1198 | Polydorus polydaemon                         |     0 | Out of Stock | -
1199 | Polyura athamas                              |     0 | Out of Stock | -
1200 | Polyura delphis concha                       |   130 | High         | -
1201 | Polyura eudamippus                           |     0 | Out of Stock | -
1202 | Polyura hebe                                 |     0 | Out of Stock | -
1203 | Polyura jalysus                              |     0 | Out of Stock | Pieridae
1204 | Polyura jupiter                              |     0 | Out of Stock | -
1205 | Polyura moori                                |     0 | Out of Stock | -
1206 | Polyura nepenthes                            |     0 | Out of Stock | -
1207 | Polyura schreiberi                           |     0 | Out of Stock | -
1208 | Pomponia imperatoria                         |    45 | Medium       | -
1209 | Pomponia intermedia                          |     0 | Out of Stock | -
1210 | Pomponia merula                              |    10 | Medium       | -
1211 | Precis cleocharis                            |     0 | Out of Stock | Pieridae
1212 | Precis columbina                             |    44 | Medium       | -
1213 | Precis octavia                               |     0 | Out of Stock | -
1214 | Precis rhadama                               |    30 | Medium       | -
1215 | Precis rhadamas                              |     0 | Out of Stock | -
1216 | Precis terea                                 |     0 | Out of Stock | -
1217 | Precis westermanni                           |     0 | Out of Stock | -
1218 | Prepona chromus                              |     0 | Out of Stock | -
1219 | Prepona frank                                |     0 | Out of Stock | -
1220 | Prepona omphale                              |     0 | Out of Stock | -
1221 | Prepona pheridamas                           |     0 | Out of Stock | -
1222 | Preponas blue color                          |    28 | Medium       | -
1223 | Preponas orange color                        |    23 | Medium       | -
1224 | Preponas praeneste                           |     0 | Out of Stock | -
1225 | Preponas sp                                  |    38 | Medium       | -
1226 | Prioneris philonome                          |   120 | High         | Pieridae
1227 | Prioneris thesylis                           |     0 | Out of Stock | Pieridae
1228 | Prionocalus cacicus                          |     5 | Medium       | Cerambycidae
1229 | Prosopocoilus astacoides                     |     0 | Out of Stock | Lucanidae
1230 | Prosopocoilus banchardi                      |     0 | Out of Stock | Lucanidae
1231 | Prosopocoilus cinctus                        |     4 | Low          | Lucanidae
1232 | Prosopocoilus cladognatus                    |     0 | Out of Stock | Lucanidae
1233 | Prosopocoilus corpoloari                     |     0 | Out of Stock | Lucanidae
1234 | Prosopocoilus fabriche                       |     0 | Out of Stock | Lucanidae
1235 | Prosopocoilus lateralis                      |     0 | Out of Stock | Lucanidae
1236 | Prosopocoilus occipitalis                    |    20 | Out of Stock | Lucanidae
1237 | Prosopocoilus savagei                        |    50 | Medium       | Lucanidae
1238 | Protaetiaa cyanochlora                       |    10 | Out of Stock | Scarabeidae
1239 | Psaphis euschemoides                         |     0 | Out of Stock | -
1240 | Psedomeges marmoratus                        |     0 | Out of Stock | Cerambycidae
1241 | Pseudolycaena clarki aegina                  |     0 | Out of Stock | -
1242 | Pseudolycaena damo                           |     0 | Out of Stock | -
1243 | Pseudophasma acanthonota                     |     0 | Out of Stock | -
1244 | Pseudophylidae sp.                           |     0 | Out of Stock | -
1245 | Pseudophyllus neriifolius                    |    20 | Out of Stock | -
1246 | Ptychandra ohtanni                           |     0 | Out of Stock | -
1247 | Pyrops astarte                               |     4 | Low          | -
1248 | Pyrops candelalia                            |     0 | Out of Stock | -
1249 | Pyrops candelaria                            |     3 | Out of Stock | -
1250 | Pyrops clavata                               |     6 | Out of Stock | -
1251 | Pyrops clavata mizunumai                     |     0 | Out of Stock | -
1252 | Pyrops hamadjahi                             |     0 | Out of Stock | -
1253 | Pyrops hashimotoi                            |     0 | Out of Stock | -
1254 | Pyrops itoi                                  |     0 | Out of Stock | -
1255 | Pyrops pyroryncha                            |    25 | Medium       | -
1256 | Pyrops spinolae                              |     0 | Out of Stock | -
1257 | Pyrops sultana                               |    10 | Medium       | -
1258 | Pyrops viridirostris                         |     0 | Out of Stock | -
1259 | Pyrops whiteheadi                            |     0 | Out of Stock | -
1260 | Pyrrhogyra edocla                            |    19 | Medium       | -
1261 | Ranzania berteloni    male                   |    30 | Out of Stock | Cetonidae
1262 | Rekoa meton                                  |     0 | Out of Stock | -
1263 | Rhetus arcius                                |   100 | High         | -
1264 | Rhetus dyosoni                               |    30 | Medium       | -
1265 | Rhetus dyosonii                              |    10 | Medium       | -
1266 | Rhetus periander                             |   100 | High         | -
1267 | Rhinastus sternicornis                       |     0 | Out of Stock | Curculionidae
1268 | Rhinopalpa polynice                          |     0 | Out of Stock | -
1269 | Rhombodera basalis                           |     0 | Out of Stock | -
1270 | Rhomborhina basalis                          |     0 | Out of Stock | Cetonidae
1271 | Rhomborhina chatanayi                        |    47 | Medium       | Cetonidae
1272 | Rhomborhina gigantea                         |   100 | High         | Cetonidae
1273 | Rhomborhina jeanneli                         |     0 | Out of Stock | Cetonidae
1274 | Rhomborhina mellyi                           |     0 | Out of Stock | Cetonidae
1275 | Rhomborhina resplendens                      |    60 | High         | Cetonidae
1276 | Rhytimna sp                                  |     0 | Out of Stock | Theraphosidae
1277 | Rosalia formosa                              |     0 | Out of Stock | Lucanidae
1278 | Rosalia lameerei                             |     0 | Out of Stock | Cerambycidae
1279 | Rosalia sanguinolenta                        |    10 | Medium       | Cerambycidae
1280 | Rosenbergia straussi                         |   200 | High         | Cerambycidae
1281 | Rosenbergia weiskei                          |     0 | Out of Stock | Cerambycidae
1282 | Rothschildia erycina                         |     0 | Out of Stock | -
1283 | Rothschildia lebeau                          |     0 | Out of Stock | -
1284 | Rothschildia orizaba                         |     0 | Out of Stock | -
1285 | Sagra buqueti                                |     0 | Out of Stock | Chrysomelidae
1286 | Sagra femorata                               |     0 | Out of Stock | Chrysomelidae
1287 | Sagra formosa                                |     0 | Out of Stock | Chrysomelidae
1288 | Sagra longicollis                            |     0 | Out of Stock | Chrysomelidae
1289 | Sagra spp                                    |     0 | Out of Stock | Chrysomelidae
1290 | Saiva cardinalis                             |     0 | Out of Stock | -
1291 | Saiva decorata                               |     0 | Out of Stock | -
1292 | Saiva transverso                             |     4 | Low          | -
1293 | Salamis aethiops                             |     0 | Out of Stock | -
1294 | Salamis anacardi                             |     0 | Out of Stock | -
1295 | Salamis anteva                               |     0 | Out of Stock | -
1296 | Salamis cacta                                |    35 | Medium       | -
1297 | Salamis duprei                               |    12 | Medium       | -
1298 | Salamis parhassus                            |     7 | Medium       | -
1299 | Salamis temnora                              |     0 | Out of Stock | Pieridae
1300 | Salvazana imperialis                         |     5 | Out of Stock | -
1301 | Salvazana mirabilis                          |    22 | Medium       | -
1302 | Samia Insularis  female                      |    25 | Out of Stock | -
1303 | Samia Insularis  male                        |    25 | Out of Stock | -
1304 | Samia kahlii                                 |     1 | Out of Stock | -
1305 | Samia luzonica female                        |     0 | Out of Stock | -
1306 | Samia luzonica male                          |     0 | Out of Stock | -
1307 | Sanna intermedia   FEMALE                    |     0 | Out of Stock | -
1308 | Sanna intermedia   MALE                      |     0 | Out of Stock | -
1309 | Sanna regalis                                |     0 | Out of Stock | -
1310 | Sasakia charonda                             |     0 | Out of Stock | -
1311 | Sasuma sp.                                   |    35 | Out of Stock | -
1312 | Scamandra sanguiflua                         |     5 | Medium       | -
1313 | Scamandra tamborana                          |     0 | Out of Stock | -
1314 | Scamandra thetis                             |     5 | Out of Stock | -
1315 | Scapanes australis                           |     0 | Out of Stock | Dynastinae
1316 | Scolidae sp01                                |     3 | Low          | -
1317 | Scolopendra                                  |    10 | Medium       | -
1318 | Scolopendra cithaerias                       |     5 | Medium       | -
1319 | Scolopendra gigantea                         |     0 | Out of Stock | -
1320 | Scolopendra sp big                           |     0 | Out of Stock | -
1321 | Scolopendra sp small                         |     0 | Out of Stock | -
1322 | scorpion                                     |    50 | Medium       | Theraphosidae
1323 | Selenocosmia                                 |     0 | Out of Stock | Theraphosidae
1324 | Semiotus imperialis                          |     0 | Out of Stock | Elateridae
1325 | Sericinus montelus                           |     0 | Out of Stock | -
1326 | Sevenia pechueli                             |     0 | Out of Stock | -
1327 | Siproeta epaphus                             |    90 | High         | Pieridae
1328 | Siproeta stelenes                            |    67 | High         | Pieridae
1329 | Sisema neurodes                              |    12 | Out of Stock | -
1330 | Skiber javaensis                             |     0 | Out of Stock | Skiber
1331 | Smirna blomfildia                            |     0 | Out of Stock | -
1332 | Spendica incordies                           |    32 | Medium       | Cetonidae
1333 | Sphingnotus albertisi                        |   100 | High         | Cerambycidae
1334 | Sphingnotus mirabilis                        |     0 | Out of Stock | Cerambycidae
1335 | Spider sp                                    |     4 | Low          | Theraphosidae
1336 | Spider sp 08                                 |     0 | Out of Stock | Theraphosidae
1337 | Stellognatha maculata                        |     0 | Out of Stock | Cerambycidae
1338 | Stephanocrates preussi                       |     1 | Low          | Cetonidae
1339 | Sternocera aequisignata                      |   160 | High         | Buprestidae
1340 | Sternocera boucardii                         |     5 | Medium       | Buprestidae
1341 | Sternocera castaea                           |     6 | Out of Stock | Buprestidae
1342 | Sternocera pulchra fisheri                   |    55 | High         | Buprestidae
1343 | Sternocera ruficornis                        |     0 | Out of Stock | Buprestidae
1344 | Sterphanorrhina guttata                      |     0 | Out of Stock | Cetonidae
